5;10740;31,12258;12,696983;0,97408;0,5519
6;10979;28,719071;12,742792;0,95546;0,55943
7;10935;27,076031;12,744172;0,93398;0,55839
8;10595;25,99872;12,683697;0,91173;0,54989
9;10862;25,597133;12,731777;0,89978;0,55623
10;10438;24,795831;12,657589;0,88228;0,54501
11;10963;24,864993;12,751611;0,87934;0,55858
12;10975;24,935211;12,746797;0,87714;0,55761
13;10859;24,523815;12,747308;0,86214;0,55636
14;10404;24,369036;12,675771;0,85375;0,54636
15;10728;24,170502;12,744533;0,85367;0,5543
16;10922;23,889823;12,75875;0,83811;0,55709
17;10709;23,643604;12,719546;0,8255;0,55149
18;10781;23,917416;12,755324;0,83821;0,55513
19;10895;24,079652;12,766669;0,83572;0,55705
20;10822;24,159003;12,759499;0,84547;0,55457
21;10753;24,175169;12,730606;0,84265;0,55181
22;10643;23,532127;12,730235;0,83045;0,5507
23;10882;23,831457;12,776191;0,8228;0,55694
24;10996;23,717365;12,806356;0,82579;0,55933
25;10910;23,608996;12,811976;0,81357;0,55939
26;10837;23,152254;12,787747;0,81055;0,55476
27;10644;23,133889;12,75675;0,80752;0,55034
28;10603;23,499813;12,739872;0,81204;0,54944
29;10802;24,028039;12,812161;0,82493;0,55515
30;10927;23,691994;12,824577;0,82554;0,5574
;;24,7012893846;12,7484341923;0,8570076923;0,5544096154
