Frames		Bytes
4		20093
5		20154
6		20101
7		20445
8		20034
9		20213
10		20298
11		20190
12		20142
13		20077
14		20068
15		20227
16		20100
17		20131
18		20155
19		20073
20		20012
21		20144
22		20003
23		20382
24		20294
25		20138
26		20215
27		20064
28		20224
29		20260
30		20167
31		20323
32		20136
33		20133
34		20052
35		20057
36		20058
37		20065
38		20345
39		20191
40		20411
41		20359
42		20135
43		20001
44		20310
45		20237
46		20004
47		20174
48		20262
49		20142
50		20104
51		20029
52		20087
53		20132
54		20247
