me+precincts		precincts		me		trunc
30,001134		12,662578		20,570919		12,673745
28,502625		12,625452		20,552562		12,67337
26,443418		12,385809		20,553257		12,682335
25,533988		12,671714		20,535228		12,683669
24,724857		12,39472		20,537821		12,759044
24,541249		12,528422		20,556044		12,676927
24,330266		12,652071		20,611401		12,679158
24,35477		12,763252		20,595799		12,687596
24,315885		12,474753		20,612551		12,680789
24,505829		12,541199		20,504155		12,771827
24,462896		12,697584		20,489911		12,690916
24,423944		12,56609		20,39146		12,771049
24,39646		12,748094		20,447103		12,689331
24,392896		13,045276		20,392538		12,68758
24,489243		12,452705		20,396743		12,692594
24,509056		12,815964		20,380105		12,696013
24,412604		12,530024		20,277262		12,790078
24,39674		12,646161		20,344339		12,700948
24,265012		12,692895		20,099235		12,795331
24,164766		12,536738		20,052597		12,802049
24,090186		12,771941		20,062206		12,80672
24,010115		12,605242		20,053076		12,812357
23,872042		12,650032		19,996013		12,724998
23,889038		12,506855		19,98674		12,825812
23,835568		12,692122		19,993024		12,740124
23,777148		12,486758		19,948191		12,748057
23,776612		12,412551		19,923678		12,853221
23,716037		12,623192		19,900158		12,752043
23,667896		12,689903		19,858471		12,759916
23,806005		12,563288		19,906483		12,759016
23,879702		12,34555		19,812223		12,768601
23,892315		12,685977		19,803664		12,882401
23,834606		12,527826		19,758196		12,781514
23,763341		12,439628		19,720965		12,776404
23,713463		12,744463		19,761355		12,781326
23,713295		12,687365		19,766565		12,77629
23,770401		12,533069		19,795681		12,784089
23,752941		12,65889		19,731781		12,904993
23,7096		12,57311		19,745322		12,78989
23,693624		12,470378		19,710703		12,79424
23,635795		12,66231		19,749647		12,792423
23,594741		12,595045		19,741111		12,791139
23,621565		12,661971		19,752257		12,926636
23,549577		12,439495		19,660769		12,800392
23,70623		12,407593		19,68168		12,806783
23,559019		12,639493		19,544733		12,807649
23,482953		12,545388		19,556819		12,810703
23,48647		12,576132		19,569322		12,819857
23,441979		12,542538		19,530965		12,965609
23,450549		12,724875		19,563939		12,841503
23,426479		12,464308		19,485763		12,843299
